indicator,location,value
Percentage of HFs Offering eMTCT Services that had Nevirapine Syrup,Kaduna,61.1
Percentage of HFs Offering eMTCT Services that had Nevirapine Syrup,Kano,41.9
Percentage of HFs Offering eMTCT Services that had Nevirapine Syrup,Katsina,37.3
Percentage of HFs Offering eMTCT Services that had Nevirapine Syrup,Kogi,41.2
Percentage of HFs Offering eMTCT Services that had Nevirapine Syrup,Kwara,48
Percentage of HFs Offering eMTCT Services that had Nevirapine Syrup,Lagos,36.9
Percentage of HFs Offering eMTCT Services that had Nevirapine Syrup,Niger,23.7
Percentage of HFs Offering eMTCT Services that had Nevirapine Syrup,Ogun,52.7
Percentage of HFs Offering eMTCT Services that had Nevirapine Syrup,Ondo,29.6
Percentage of HFs Offering eMTCT Services that had Nevirapine Syrup,Osun,20.6
Percentage of HFs Offering eMTCT Services that had Nevirapine Syrup,Oyo,51.9
Percentage of HFs Offering eMTCT Services that had Nevirapine Syrup,Plateau,64.8
Percentage of HFs Offering eMTCT Services that had Nevirapine Syrup,Rivers,36.5
Percentage of HFs Offering eMTCT Services that had Nevirapine Syrup,Sokoto,55.3
Percentage of HFs Offering eMTCT Services that had Nevirapine Syrup,Taraba,49.5
Percentage of HFs Offering eMTCT Services that had Nevirapine Syrup,Yobe,49.9
Percentage of HFs Offering eMTCT Services that had Nevirapine Syrup,Zamfara,54.8
Percentage of HFs Offering eMTCT Services that had Maternal ARV Prophylaxis,Nigeria,41.1
Percentage of HFs Offering eMTCT Services that had Maternal ARV Prophylaxis,North-Central,45.8
Percentage of HFs Offering eMTCT Services that had Maternal ARV Prophylaxis,North-East,59.3
Percentage of HFs Offering eMTCT Services that had Maternal ARV Prophylaxis,North-West,64.5
Percentage of HFs Offering eMTCT Services that had Maternal ARV Prophylaxis,South-East,44.1
Percentage of HFs Offering eMTCT Services that had Maternal ARV Prophylaxis,South-South,40
Percentage of HFs Offering eMTCT Services that had Maternal ARV Prophylaxis,South-West,43.5
Percentage of HFs Offering eMTCT Services that had Maternal ARV Prophylaxis,Abia,52.9
Percentage of HFs Offering eMTCT Services that had Maternal ARV Prophylaxis,Adamawa,11.1
Percentage of HFs Offering eMTCT Services that had Maternal ARV Prophylaxis,Akwa Ibom,41.4
Percentage of HFs Offering eMTCT Services that had Maternal ARV Prophylaxis,Anambra,52.3
Percentage of HFs Offering eMTCT Services that had Maternal ARV Prophylaxis,Bauchi,68
Percentage of HFs Offering eMTCT Services that had Maternal ARV Prophylaxis,Bayelsa,49.2
Percentage of HFs Offering eMTCT Services that had Maternal ARV Prophylaxis,Borno,52.4
Percentage of HFs Offering eMTCT Services that had Maternal ARV Prophylaxis,Cross River,19.7
Percentage of HFs Offering eMTCT Services that had Maternal ARV Prophylaxis,Delta,57.7
Percentage of HFs Offering eMTCT Services that had Maternal ARV Prophylaxis,Ebonyi,53.9
Percentage of HFs Offering eMTCT Services that had Maternal ARV Prophylaxis,Edo,48.7
Percentage of HFs Offering eMTCT Services that had Maternal ARV Prophylaxis,Ekiti,36.8
Percentage of HFs Offering eMTCT Services that had Maternal ARV Prophylaxis,Enugu,55.2
Percentage of HFs Offering eMTCT Services that had Maternal ARV Prophylaxis,FCT,51.7
Percentage of HFs Offering eMTCT Services that had Maternal ARV Prophylaxis,Gombe,46.6
Percentage of HFs Offering eMTCT Services that had Maternal ARV Prophylaxis,Imo,63.6
Percentage of HFs Offering eMTCT Services that had Maternal ARV Prophylaxis,Jigawa,55.1
Percentage of HFs Offering eMTCT Services that had Maternal ARV Prophylaxis,Kano,64.8
Percentage of HFs Offering eMTCT Services that had Maternal ARV Prophylaxis,Kebbi,16.4
Percentage of HFs Offering eMTCT Services that had Maternal ARV Prophylaxis,Kogi,67.2
Percentage of HFs Offering eMTCT Services that had Maternal ARV Prophylaxis,Kwara,62.4
Percentage of HFs Offering eMTCT Services that had Maternal ARV Prophylaxis,Lagos,53.2
Percentage of HFs Offering eMTCT Services that had Maternal ARV Prophylaxis,Niger,32.8
Percentage of HFs Offering eMTCT Services that had Maternal ARV Prophylaxis,Ogun,64.7
Percentage of HFs Offering eMTCT Services that had Maternal ARV Prophylaxis,Ondo,38.5
Percentage of HFs Offering eMTCT Services that had Maternal ARV Prophylaxis,Osun,39.8
Percentage of HFs Offering eMTCT Services that had Maternal ARV Prophylaxis,Oyo,64
Percentage of HFs Offering eMTCT Services that had Maternal ARV Prophylaxis,Plateau,63.1
Percentage of HFs Offering eMTCT Services that had Maternal ARV Prophylaxis,Rivers,62.2
Percentage of HFs Offering eMTCT Services that had Maternal ARV Prophylaxis,Sokoto,45.3
Percentage of HFs Offering eMTCT Services that had Maternal ARV Prophylaxis,Taraba,62.7
Percentage of HFs Offering eMTCT Services that had Maternal ARV Prophylaxis,Yobe,56
Percentage of HFs Offering eMTCT Services that had Maternal ARV Prophylaxis,Zamfara,58.5
Percentage of Health Facilities that provide ANC Services,Bayelsa,66.4
Percentage of Health Facilities that provide ANC Services,Borno,67
Percentage of Health Facilities that provide ANC Services,Ekiti,64
Percentage of Health Facilities that provide ANC Services,Katsina,61.6
Percentage of Health Facilities that provide ANC Services,Kebbi,58.1
Percentage of Health Facilities that provide ANC Services,Rivers,61.6
Percentage of Health Facilities that provide ANC Services,Taraba,37.5
Percentage of Health Facilities that provide ANC Services,Zamfara,61.6
Percentage of Health Facilities that provide Iron Supplements as part of Routine ANC services,North-West,59.9
Percentage of Health Facilities that provide Iron Supplements as part of Routine ANC services,Bayelsa,65.7
Percentage of Health Facilities that provide Iron Supplements as part of Routine ANC services,Borno,61.2
Percentage of Health Facilities that provide Iron Supplements as part of Routine ANC services,Ekiti,49
Percentage of Health Facilities that provide Iron Supplements as part of Routine ANC services,Kaduna,67.4
Percentage of Health Facilities that provide Iron Supplements as part of Routine ANC services,Katsina,54.8
Percentage of Health Facilities that provide Iron Supplements as part of Routine ANC services,Kebbi,57.3
Percentage of Health Facilities that provide Iron Supplements as part of Routine ANC services,Kogi,65
Percentage of Health Facilities that provide Iron Supplements as part of Routine ANC services,Kwara,67.5
Percentage of Health Facilities that provide Iron Supplements as part of Routine ANC services,Niger,64
Percentage of Health Facilities that provide Iron Supplements as part of Routine ANC services,Osun,59.7
Percentage of Health Facilities that provide Iron Supplements as part of Routine ANC services,Oyo,61
Percentage of Health Facilities that provide Iron Supplements as part of Routine ANC services,Rivers,62.2
Percentage of Health Facilities that provide Iron Supplements as part of Routine ANC services,Taraba,33.3
Percentage of Health Facilities that provide Iron Supplements as part of Routine ANC services,Zamfara,62.7
Percentage of health facilities that provide folic acid supplements as part of routine ANC services,North-West,60.9
Percentage of health facilities that provide folic acid supplements as part of routine ANC services,Bayelsa,62.1
Percentage of health facilities that provide folic acid supplements as part of routine ANC services,Borno,49
Percentage of health facilities that provide folic acid supplements as part of routine ANC services,Ekiti,66
Percentage of health facilities that provide folic acid supplements as part of routine ANC services,Kaduna,54.8
Percentage of health facilities that provide folic acid supplements as part of routine ANC services,Katsina,56.1
Percentage of health facilities that provide folic acid supplements as part of routine ANC services,Kebbi,65
Percentage of health facilities that provide folic acid supplements as part of routine ANC services,Kogi,67.3
Percentage of health facilities that provide folic acid supplements as part of routine ANC services,Niger,64
Percentage of health facilities that provide folic acid supplements as part of routine ANC services,Osun,60.2
Percentage of health facilities that provide folic acid supplements as part of routine ANC services,Plateau,57.6
Percentage of health facilities that provide folic acid supplements as part of routine ANC services,Rivers,39.3
Percentage of health facilities that provide folic acid supplements as part of routine ANC services,Taraba,58.1
Percentage of health facilities that provide folic acid supplements as part of routine ANC services,Zamfara,65.6
Percentage of health facilities that provide Tetanus immunization as part of routine ANC services,North-West,62.8
Percentage of health facilities that provide Tetanus immunization as part of routine ANC services,Bayelsa,65.5
Percentage of health facilities that provide Tetanus immunization as part of routine ANC services,Borno,67.5
Percentage of health facilities that provide Tetanus immunization as part of routine ANC services,Ekiti,54.8
Percentage of health facilities that provide Tetanus immunization as part of routine ANC services,Katsina,57.3
Percentage of health facilities that provide Tetanus immunization as part of routine ANC services,Kebbi,62.4
Percentage of health facilities that provide Tetanus immunization as part of routine ANC services,Kogi,5
Percentage of health facilities that provide Tetanus immunization as part of routine ANC services,Kwara,3.8
Percentage of health facilities that provide Tetanus immunization as part of routine ANC services,Niger,7.1
Percentage of health facilities that provide Tetanus immunization as part of routine ANC services,Plateau,11.1
Percentage of health facilities that provide Tetanus immunization as part of routine ANC services,Rivers,2.9
Percentage of health facilities that provide Tetanus immunization as part of routine ANC services,Taraba,3.4
Percentage of health facilities that provide Tetanus immunization as part of routine ANC services,Zamfara,1.8
Percentage of health facilities that use corticosteroid for women at risk of pre-term delivery as part of routine ANC services,Nigeria,17.8
Percentage of health facilities that use corticosteroid for women at risk of pre-term delivery as part of routine ANC services,North-West,11.4
Percentage of health facilities that use corticosteroid for women at risk of pre-term delivery as part of routine ANC services,South-East,12.6
Percentage of health facilities that use corticosteroid for women at risk of pre-term delivery as part of routine ANC services,South-South,5.5
Percentage of health facilities that use corticosteroid for women at risk of pre-term delivery as part of routine ANC services,South-West,2.3
Percentage of health facilities that use corticosteroid for women at risk of pre-term delivery as part of routine ANC services,Abia,3.2
Percentage of health facilities that use corticosteroid for women at risk of pre-term delivery as part of routine ANC services,Adamawa,4.9
Percentage of health facilities that use corticosteroid for women at risk of pre-term delivery as part of routine ANC services,Akwa Ibom,2.4
Percentage of health facilities that use corticosteroid for women at risk of pre-term delivery as part of routine ANC services,Bauchi,2
Percentage of health facilities that use corticosteroid for women at risk of pre-term delivery as part of routine ANC services,Cross River,10.1
Percentage of health facilities that use corticosteroid for women at risk of pre-term delivery as part of routine ANC services,Ebonyi,24.5
Percentage of health facilities that use corticosteroid for women at risk of pre-term delivery as part of routine ANC services,Ekiti,14.8
Percentage of health facilities that use corticosteroid for women at risk of pre-term delivery as part of routine ANC services,FCT,7.8
Percentage of health facilities that use corticosteroid for women at risk of pre-term delivery as part of routine ANC services,Jigawa,5.4
Percentage of health facilities that use corticosteroid for women at risk of pre-term delivery as part of routine ANC services,Kano,7.7
Percentage of health facilities that use corticosteroid for women at risk of pre-term delivery as part of routine ANC services,Katsina,1
Percentage of health facilities that use corticosteroid for women at risk of pre-term delivery as part of routine ANC services,Kebbi,16.8
Percentage of health facilities that use corticosteroid for women at risk of pre-term delivery as part of routine ANC services,Kwara,5.6
Percentage of health facilities that use corticosteroid for women at risk of pre-term delivery as part of routine ANC services,Lagos,11.4
Percentage of health facilities that use corticosteroid for women at risk of pre-term delivery as part of routine ANC services,Nasarawa,9.1
Percentage of health facilities that use corticosteroid for women at risk of pre-term delivery as part of routine ANC services,Niger,5
Percentage of health facilities that use corticosteroid for women at risk of pre-term delivery as part of routine ANC services,Ogun,1.7
Percentage of health facilities that use corticosteroid for women at risk of pre-term delivery as part of routine ANC services,Ondo,14
Percentage of health facilities that use corticosteroid for women at risk of pre-term delivery as part of routine ANC services,Osun,16.5
Percentage of health facilities that use corticosteroid for women at risk of pre-term delivery as part of routine ANC services,Oyo,51.6
Percentage of health facilities that use corticosteroid for women at risk of pre-term delivery as part of routine ANC services,Plateau,52.6
Percentage of health facilities that use corticosteroid for women at risk of pre-term delivery as part of routine ANC services,Rivers,46.3
Percentage of health facilities that use corticosteroid for women at risk of pre-term delivery as part of routine ANC services,Sokoto,42.8
Percentage of health facilities that use corticosteroid for women at risk of pre-term delivery as part of routine ANC services,Taraba,60.6
Percentage of health facilities that use corticosteroid for women at risk of pre-term delivery as part of routine ANC services,Yobe,56.8
Percentage of health facilities that use corticosteroid for women at risk of pre-term delivery as part of routine ANC services,Zamfara,56.1
Percentage of health facilities that provide HIV testing as part of routine ANC services,Nigeria,61.9
Percentage of health facilities that provide HIV testing as part of routine ANC services,North-Central,64.7
Percentage of health facilities that provide HIV testing as part of routine ANC services,North-East,36.7
Percentage of health facilities that provide HIV testing as part of routine ANC services,North-West,60
Percentage of health facilities that provide HIV testing as part of routine ANC services,South-East,18.6
Percentage of health facilities that provide HIV testing as part of routine ANC services,South-South,61.4
Percentage of health facilities that provide HIV testing as part of routine ANC services,South-West,56.2
Percentage of health facilities that provide HIV testing as part of routine ANC services,Abia,42.6
Percentage of health facilities that provide HIV testing as part of routine ANC services,Akwa Ibom,39.7
Percentage of health facilities that provide HIV testing as part of routine ANC services,Bauchi,48.1
Percentage of health facilities that provide HIV testing as part of routine ANC services,Bayelsa,55.8
Percentage of health facilities that provide HIV testing as part of routine ANC services,Borno,29.6
Percentage of health facilities that provide HIV testing as part of routine ANC services,Cross River,59.9
Percentage of health facilities that provide HIV testing as part of routine ANC services,Delta,56.5
Percentage of health facilities that provide HIV testing as part of routine ANC services,Ebonyi,34.6
Percentage of health facilities that provide HIV testing as part of routine ANC services,Edo,52.1
Percentage of health facilities that provide HIV testing as part of routine ANC services,Ekiti,36.4
Percentage of health facilities that provide HIV testing as part of routine ANC services,Enugu,30
Percentage of health facilities that provide HIV testing as part of routine ANC services,Jigawa,63.4
Percentage of health facilities that provide HIV testing as part of routine ANC services,Kaduna,39.6
Percentage of health facilities that provide HIV testing as part of routine ANC services,Kano,47.5
Percentage of health facilities that provide HIV testing as part of routine ANC services,Katsina,29.5
Percentage of health facilities that provide HIV testing as part of routine ANC services,Kebbi,64.8
Percentage of health facilities that provide HIV testing as part of routine ANC services,Kogi,60.8
Percentage of health facilities that provide HIV testing as part of routine ANC services,Kwara,49.6
Percentage of health facilities that provide HIV testing as part of routine ANC services,Nasarawa,21
Percentage of health facilities that provide HIV testing as part of routine ANC services,Niger,40.1
Percentage of health facilities that provide HIV testing as part of routine ANC services,Ogun,32.2
Percentage of health facilities that provide HIV testing as part of routine ANC services,Osun,44.9
Percentage of health facilities that provide HIV testing as part of routine ANC services,Oyo,18.3
Percentage of health facilities that provide HIV testing as part of routine ANC services,Plateau,23.2
Percentage of health facilities that provide HIV testing as part of routine ANC services,Rivers,11.5
Percentage of health facilities that provide HIV testing as part of routine ANC services,Sokoto,15.1
Percentage of health facilities that provide HIV testing as part of routine ANC services,Taraba,26.6
Percentage of health facilities that provide HIV testing as part of routine ANC services,Yobe,29.2
Percentage of health facilities that provide HIV testing as part of routine ANC services,Zamfara,10.4
Percentage of health facilities that provide ARV for HIV positive ANC patients as part of routine ANC services,Nigeria,40.4
Percentage of health facilities that provide ARV for HIV positive ANC patients as part of routine ANC services,North-Central,21.4
Percentage of health facilities that provide ARV for HIV positive ANC patients as part of routine ANC services,North-East,54.4
Percentage of health facilities that provide ARV for HIV positive ANC patients as part of routine ANC services,North-West,16.6
Percentage of health facilities that provide ARV for HIV positive ANC patients as part of routine ANC services,South-East,1.5
Percentage of health facilities that provide ARV for HIV positive ANC patients as part of routine ANC services,South-South,35.4
Percentage of health facilities that provide ARV for HIV positive ANC patients as part of routine ANC services,South-West,38.9
Percentage of health facilities that provide ARV for HIV positive ANC patients as part of routine ANC services,Abia,5.8
Percentage of health facilities that provide ARV for HIV positive ANC patients as part of routine ANC services,Adamawa,47.3
Percentage of health facilities that provide ARV for HIV positive ANC patients as part of routine ANC services,Anambra,25.3
Percentage of health facilities that provide ARV for HIV positive ANC patients as part of routine ANC services,Bauchi,2.5
Percentage of health facilities that provide ARV for HIV positive ANC patients as part of routine ANC services,Benue,23.7
Percentage of health facilities that provide ARV for HIV positive ANC patients as part of routine ANC services,Borno,44.1
Percentage of health facilities that provide ARV for HIV positive ANC patients as part of routine ANC services,Cross River,28.8
Percentage of health facilities that provide ARV for HIV positive ANC patients as part of routine ANC services,Delta,29.1
Percentage of health facilities that provide ARV for HIV positive ANC patients as part of routine ANC services,Ebonyi,4.4
Percentage of health facilities that provide ARV for HIV positive ANC patients as part of routine ANC services,Edo,37.7
Percentage of health facilities that provide ARV for HIV positive ANC patients as part of routine ANC services,Ekiti,18.4
Percentage of health facilities that provide ARV for HIV positive ANC patients as part of routine ANC services,Enugu,11.9
Percentage of health facilities that provide ARV for HIV positive ANC patients as part of routine ANC services,FCT,2.8
Percentage of health facilities that provide ARV for HIV positive ANC patients as part of routine ANC services,Gombe,14.7
Percentage of health facilities that provide ARV for HIV positive ANC patients as part of routine ANC services,Jigawa,33.6
Percentage of health facilities that provide ARV for HIV positive ANC patients as part of routine ANC services,Kaduna,31
Percentage of health facilities that provide ARV for HIV positive ANC patients as part of routine ANC services,Kano,16.3
Percentage of health facilities that provide ARV for HIV positive ANC patients as part of routine ANC services,Katsina,8.4
Percentage of health facilities that provide ARV for HIV positive ANC patients as part of routine ANC services,Kebbi,19.4
Percentage of health facilities that provide ARV for HIV positive ANC patients as part of routine ANC services,Kwara,11.4
Percentage of health facilities that provide ARV for HIV positive ANC patients as part of routine ANC services,Lagos,27
Percentage of health facilities that provide ARV for HIV positive ANC patients as part of routine ANC services,Nasarawa,31
Percentage of health facilities that provide ARV for HIV positive ANC patients as part of routine ANC services,Ogun,13.7
Percentage of health facilities that provide ARV for HIV positive ANC patients as part of routine ANC services,Osun,19.5
Percentage of health facilities that provide ARV for HIV positive ANC patients as part of routine ANC services,Oyo,67.1
Percentage of health facilities that provide ARV for HIV positive ANC patients as part of routine ANC services,Plateau,64.9
Percentage of health facilities that provide ARV for HIV positive ANC patients as part of routine ANC services,Rivers,62.7
Percentage of health facilities that provide ARV for HIV positive ANC patients as part of routine ANC services,Sokoto,49.8
Percentage of health facilities that provide ARV for HIV positive ANC patients as part of routine ANC services,Taraba,62.2
Percentage of health facilities that provide ARV for HIV positive ANC patients as part of routine ANC services,Yobe,41.7
Percentage of health facilities that provide ARV for HIV positive ANC patients as part of routine ANC services,Zamfara,58
Percentage of health facilities that provide Counselling about birth spacing or family planning as part of routine ANC services,North-East,52
Percentage of health facilities that provide Counselling about birth spacing or family planning as part of routine ANC services,North-West,64.6
Percentage of health facilities that provide Counselling about birth spacing or family planning as part of routine ANC services,Bayelsa,62.9
Percentage of health facilities that provide Counselling about birth spacing or family planning as part of routine ANC services,Borno,67.1
Percentage of health facilities that provide Counselling about birth spacing or family planning as part of routine ANC services,Ekiti,53.7
Percentage of health facilities that provide Counselling about birth spacing or family planning as part of routine ANC services,Katsina,51.2
Percentage of health facilities that provide Counselling about birth spacing or family planning as part of routine ANC services,Kebbi,59.6
Percentage of health facilities that provide Counselling about birth spacing or family planning as part of routine ANC services,Kogi,16.7
Percentage of health facilities that provide Counselling about birth spacing or family planning as part of routine ANC services,Kwara,12.1
Percentage of health facilities that provide Counselling about birth spacing or family planning as part of routine ANC services,Niger,10.3
Percentage of health facilities that provide Counselling about birth spacing or family planning as part of routine ANC services,Osun,11.5
Percentage of health facilities that provide Counselling about birth spacing or family planning as part of routine ANC services,Rivers,35.4
Percentage of health facilities that provide Counselling about birth spacing or family planning as part of routine ANC services,Taraba,18
Percentage of health facilities that provide Counselling about birth spacing or family planning as part of routine ANC services,Zamfara,18.6
Percentage of health facilities that provide Diagnosis and treatment for sexually transmitted infections as part of routine ANC services,Nigeria,26.8
Percentage of health facilities that provide Diagnosis and treatment for sexually transmitted infections as part of routine ANC services,North-Central,8.2
Percentage of health facilities that provide Diagnosis and treatment for sexually transmitted infections as part of routine ANC services,North-East,39.2
Percentage of health facilities that provide Diagnosis and treatment for sexually transmitted infections as part of routine ANC services,North-West,25.9
Percentage of health facilities that provide Diagnosis and treatment for sexually transmitted infections as part of routine ANC services,South-East,9.5
Percentage of health facilities that provide Diagnosis and treatment for sexually transmitted infections as part of routine ANC services,South-South,15.9
Percentage of health facilities that provide Diagnosis and treatment for sexually transmitted infections as part of routine ANC services,South-West,4.8
Percentage of health facilities that provide Diagnosis and treatment for sexually transmitted infections as part of routine ANC services,Abia,22.9
Percentage of health facilities that provide Diagnosis and treatment for sexually transmitted infections as part of routine ANC services,Adamawa,31.9
Percentage of health facilities that provide Diagnosis and treatment for sexually transmitted infections as part of routine ANC services,Akwa Ibom,10
Percentage of health facilities that provide Diagnosis and treatment for sexually transmitted infections as part of routine ANC services,Anambra,32.1
Percentage of health facilities that provide Diagnosis and treatment for sexually transmitted infections as part of routine ANC services,Bauchi,16.6
Percentage of health facilities that provide Diagnosis and treatment for sexually transmitted infections as part of routine ANC services,Bayelsa,10.9
Percentage of health facilities that provide Diagnosis and treatment for sexually transmitted infections as part of routine ANC services,Benue,37.3
Percentage of health facilities that provide Diagnosis and treatment for sexually transmitted infections as part of routine ANC services,Borno,14.2
Percentage of health facilities that provide Diagnosis and treatment for sexually transmitted infections as part of routine ANC services,Cross River,22.2
Percentage of health facilities that provide Diagnosis and treatment for sexually transmitted infections as part of routine ANC services,Delta,46.8
Percentage of health facilities that provide Diagnosis and treatment for sexually transmitted infections as part of routine ANC services,Ebonyi,15.1
Percentage of health facilities that provide Diagnosis and treatment for sexually transmitted infections as part of routine ANC services,Edo,6.9
Percentage of health facilities that provide Diagnosis and treatment for sexually transmitted infections as part of routine ANC services,Ekiti,24.6
Percentage of health facilities that provide Diagnosis and treatment for sexually transmitted infections as part of routine ANC services,FCT,16.4
Percentage of health facilities that provide Diagnosis and treatment for sexually transmitted infections as part of routine ANC services,Gombe,28.2
Percentage of health facilities that provide Diagnosis and treatment for sexually transmitted infections as part of routine ANC services,Imo,17.1
Percentage of health facilities that provide Diagnosis and treatment for sexually transmitted infections as part of routine ANC services,Jigawa,3.1
Percentage of health facilities that provide Diagnosis and treatment for sexually transmitted infections as part of routine ANC services,Kaduna,12.6
Percentage of health facilities that provide Diagnosis and treatment for sexually transmitted infections as part of routine ANC services,Kano,14.7
Percentage of health facilities that provide Diagnosis and treatment for sexually transmitted infections as part of routine ANC services,Katsina,33.3
Percentage of health facilities that provide Diagnosis and treatment for sexually transmitted infections as part of routine ANC services,Kebbi,22.6
Percentage of health facilities that provide Diagnosis and treatment for sexually transmitted infections as part of routine ANC services,Kogi,26.9
Percentage of health facilities that provide Diagnosis and treatment for sexually transmitted infections as part of routine ANC services,Kwara,15
Percentage of health facilities that provide Diagnosis and treatment for sexually transmitted infections as part of routine ANC services,Lagos,6.3
Percentage of health facilities that provide Diagnosis and treatment for sexually transmitted infections as part of routine ANC services,Nasarawa,1.4
Percentage of health facilities that provide Diagnosis and treatment for sexually transmitted infections as part of routine ANC services,Ogun,2.2
Percentage of health facilities that provide Diagnosis and treatment for sexually transmitted infections as part of routine ANC services,Ondo,3
Percentage of health facilities that provide Diagnosis and treatment for sexually transmitted infections as part of routine ANC services,Osun,17.5
Percentage of health facilities offering STI services that had national guidelines for the diagnosis and treatment of STIs,Nigeria,23
Percentage of health facilities offering STI services that had national guidelines for the diagnosis and treatment of STIs,North-Central,8.4
Percentage of health facilities offering STI services that had national guidelines for the diagnosis and treatment of STIs,South-East,4.9
Percentage of health facilities offering STI services that had national guidelines for the diagnosis and treatment of STIs,Akwa Ibom,15.4
Percentage of health facilities offering STI services that had national guidelines for the diagnosis and treatment of STIs,Ebonyi,19.1
Percentage of health facilities offering STI services that had national guidelines for the diagnosis and treatment of STIs,Kaduna,11.2
Percentage of health facilities offering STI services that had national guidelines for the diagnosis and treatment of STIs,Kano,1.5
Percentage of health facilities offering STI services that had national guidelines for the diagnosis and treatment of STIs,Kebbi,10.3
Percentage of health facilities offering STI services that had national guidelines for the diagnosis and treatment of STIs,Lagos,19
Percentage of health facilities offering STI services that had national guidelines for the diagnosis and treatment of STIs,Niger,5.1
Percentage of health facilities offering STI services that had national guidelines for the diagnosis and treatment of STIs,Plateau,22
Percentage of health facilities offering STI services that had national guidelines for the diagnosis and treatment of STIs,Zamfara,8.8
Percentage of health facilities offering STI services that had syphilis test kits,Nigeria,40.9
Percentage of health facilities offering STI services that had syphilis test kits,North-Central,38.4
Percentage of health facilities offering STI services that had syphilis test kits,North-East,35
Percentage of health facilities offering STI services that had syphilis test kits,North-West,34.8
Percentage of health facilities offering STI services that had syphilis test kits,South-East,27.3
Percentage of health facilities offering STI services that had syphilis test kits,South-South,15.5
Percentage of health facilities offering STI services that had syphilis test kits,South-West,12.3
Percentage of health facilities offering STI services that had syphilis test kits,Lagos,2.8
Percentage of health facilities offering STI services that had syphilis test kits,Nasarawa,2.2
Percentage of health facilities offering STI services that had syphilis test kits,Katsina,59.4
Percentage of health facilities offering STI services that had syphilis test kits,Kebbi,63.7
Percentage of health facilities offering STI services that had syphilis test kits,Rivers,59.8
Percentage of health facilities offering STI services that had syphilis test kits,Sokoto,65.3
Percentage of health facilities offering STI services that had syphilis test kits,Taraba,54.8
Percentage of health facilities offering STI services that had syphilis test kits,Yobe,46.4
Percentage of health facilities offering STI services that had syphilis test kits,Zamfara,60.6
Percentage of health facilities offering STI services that had metronidazole tab/cap,Nigeria,45.4
Percentage of health facilities offering STI services that had metronidazole tab/cap,North-Central,44.2
Percentage of health facilities offering STI services that had metronidazole tab/cap,North-East,41.1
Percentage of health facilities offering STI services that had metronidazole tab/cap,North-West,48
Percentage of health facilities offering STI services that had metronidazole tab/cap,South-South,60.6
Percentage of health facilities offering STI services that had metronidazole tab/cap,South-West,62.5
Percentage of health facilities offering STI services that had metronidazole tab/cap,Abia,59.3
Percentage of health facilities offering STI services that had metronidazole tab/cap,Akwa Ibom,53.6
Percentage of health facilities offering STI services that had metronidazole tab/cap,Bayelsa,60.9
Percentage of health facilities offering STI services that had metronidazole tab/cap,Borno,57.1
Percentage of health facilities offering STI services that had metronidazole tab/cap,Cross River,31.3
Percentage of health facilities offering STI services that had metronidazole tab/cap,Delta,56
Percentage of health facilities offering STI services that had metronidazole tab/cap,Ekiti,46.2
Percentage of health facilities offering STI services that had metronidazole tab/cap,FCT,52.3
Percentage of health facilities offering STI services that had metronidazole tab/cap,Katsina,37.4
Percentage of health facilities offering STI services that had metronidazole tab/cap,Kebbi,48
Percentage of health facilities offering STI services that had metronidazole tab/cap,Kogi,42.6
Percentage of health facilities offering STI services that had metronidazole tab/cap,Kwara,55.8
Percentage of health facilities offering STI services that had metronidazole tab/cap,Lagos,44.8
Percentage of health facilities offering STI services that had metronidazole tab/cap,Ogun,31.2
Percentage of health facilities offering STI services that had metronidazole tab/cap,Osun,33.3
Percentage of health facilities offering STI services that had metronidazole tab/cap,Oyo,36.5
Percentage of health facilities offering STI services that had metronidazole tab/cap,Rivers,47
Percentage of health facilities offering STI services that had metronidazole tab/cap,Sokoto,34
Percentage of health facilities offering STI services that had metronidazole tab/cap,Taraba,22.1
Percentage of health facilities offering STI services that had metronidazole tab/cap,Yobe,18.4
Percentage of health facilities offering STI services that had ciprofloxacin tab/cap,Nigeria,39.7
Percentage of health facilities offering STI services that had ciprofloxacin tab/cap,North-Central,40.5
Percentage of health facilities offering STI services that had ciprofloxacin tab/cap,North-East,9.4
Percentage of health facilities offering STI services that had ciprofloxacin tab/cap,North-West,45.1
Percentage of health facilities offering STI services that had ciprofloxacin tab/cap,South-East,51.9
Percentage of health facilities offering STI services that had ciprofloxacin tab/cap,South-South,20.6
Percentage of health facilities offering STI services that had ciprofloxacin tab/cap,South-West,21.6
Percentage of health facilities offering STI services that had ciprofloxacin tab/cap,Abia,44.5
Percentage of health facilities offering STI services that had ciprofloxacin tab/cap,Adamawa,13.9
Percentage of health facilities offering STI services that had ciprofloxacin tab/cap,Akwa Ibom,24
Percentage of health facilities offering STI services that had ciprofloxacin tab/cap,Anambra,18.8
Percentage of health facilities offering STI services that had ciprofloxacin tab/cap,Bauchi,29.4
Percentage of health facilities offering STI services that had ciprofloxacin tab/cap,Bayelsa,33.1
Percentage of health facilities offering STI services that had ciprofloxacin tab/cap,Benue,32.9
Percentage of health facilities offering STI services that had ciprofloxacin tab/cap,Borno,29.6
Percentage of health facilities offering STI services that had ciprofloxacin tab/cap,Cross River,40.2
Percentage of health facilities offering STI services that had ciprofloxacin tab/cap,Delta,35.9
Percentage of health facilities offering STI services that had ciprofloxacin tab/cap,Ebonyi,60
Percentage of health facilities offering STI services that had ciprofloxacin tab/cap,Edo,33
